"","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"9492"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9493"," Civilian"," Adult - Male"," Aleppo"," Khaldieh",2012-08-06," Field Execution","Aleppo"
"9494"," Civilian"," Adult - Female"," Damascus Suburbs"," Harasta",2012-08-06," Shelling","Rif Dimashq"
"9495"," Civilian"," Adult - Male"," Damascus"," Qaboun",2012-08-06," Field Execution","Damascus"
"9496"," Civilian"," Adult - Male"," Aleppo"," Ehtimlat",2012-08-06," Shelling","Aleppo"
"9497"," Civilian"," Adult - Male"," Damascus Suburbs"," Muadamia",2012-08-06," Detention - Execution","Rif Dimashq"
"9498"," Civilian"," Adult - Male"," Damascus Suburbs"," Muadamia",2012-08-06," Detention - Execution","Rif Dimashq"
"9499"," Civilian"," Adult - Male"," Damascus Suburbs"," Muadamia",2012-08-06," Detention - Execution","Rif Dimashq"
"9500"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Beit Sahm",2012-08-06," Shooting","Rif Dimashq"
"9501"," Civilian"," Adult - Male"," Daraa"," Daraa Mahatta",2012-08-06," Shelling","Dar`a"
"9502"," Civilian"," Adult - Male"," Damascus"," Yarmouk Camp",2012-08-06," Shooting","Damascus"
"9503"," Civilian"," Adult - Male"," Tartous"," Banyas",2012-08-06," Shooting","Tartus"
"9504"," Civilian"," Adult - Male"," Deir Ezzor"," ",2012-08-06," Shooting","Dayr Az Zawr"
"9505"," Civilian"," Adult - Male"," Damascus"," Jobar",2012-08-06," Detention - Torture","Damascus"
"9506"," Civilian"," Adult - Male"," Aleppo"," Seif al-Dawla",2012-08-07," Shelling","Aleppo"
"9507"," Non-Civilian"," Adult - Male"," Aleppo"," Salah Eddine neighbourhood",2012-08-07," Shooting","Aleppo"
"9508"," Civilian"," Adult - Male"," Damascus Suburbs"," Jesreen",2012-08-07," Shelling","Rif Dimashq"
"9509"," Non-Civilian"," Adult - Male"," Lattakia"," Al-Raml Al-Janoubi",2012-08-07," Shooting","Lattakia"
"9510"," Non-Civilian"," Adult - Male"," Hama"," ",2012-08-07," Shooting","Hamah"
"9511"," Civilian"," Adult - Male"," Homs"," Gender",2012-08-07," Shooting","Hims"
